oid,relname,relkind,size,size_pretty
16406,customer,r,40862351360,38 GB
16436,customer_i1,i,1892573184,1805 MB
16438,customer_i2,i,3509239808,3347 MB
16412,district,r,91668480,87 MB
16440,district_i1,i,1761280,1720 kB
16415,history,r,12704759808,12 GB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,1157668864,1104 MB
16444,new_order_i1,i,961167360,917 MB
16424,order_line,r,172046229504,160 GB
16446,order_line_i1,i,67346464768,63 GB
16427,orders,r,10155081728,9685 MB
16448,orders_i1,i,5899206656,5626 MB
16450,orders_i2,i,6275751936,5985 MB
16430,stock,r,74070761472,69 GB
16452,stock_i1,i,4922826752,4695 MB
16433,warehouse,r,5472256,5344 kB
16454,warehouse_i1,i,196608,192 kB
