userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16385,-8063160503150200351,CREATE EXTENSION IF NOT EXISTS pg_stat_statements,0,0,0,0,0,0,1,1.374882,1.374882,1.374882,1.374882,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,4693730857718282316,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.277661,0.277661,0.277661,0.277661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,4.261666,4.261666,4.261666,4.261666,0,166,981,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-7016157296880567151,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,2.144902,2.144902,2.144902,2.144902,0,114,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-3832115078929431881,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,21.110332,21.110332,21.110332,21.110332,0,114,526,44,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,6335737404916734104,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,10.595495,10.595495,10.595495,10.595495,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,6991480166653188134,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.87483,0.87483,0.87483,0.87483,0,166,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,435174621275570554,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,25.101801,25.101801,25.101801,25.101801,0,5,152,48,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-5109480985238204195,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,1.494898,1.494898,1.494898,1.494898,0,1,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0
