oid,relname,relkind,size,size_pretty
16392,customer,r,42784202752,40 GB
16422,customer_i1,i,1902501888,1814 MB
16438,customer_i2,i,3497590784,3336 MB
16398,district,r,489414656,467 MB
16424,district_i1,i,8314880,8120 kB
16401,history,r,9962741760,9501 MB
16404,item,r,10674176,10 MB
16426,item_i1,i,2260992,2208 kB
16407,new_order,r,1177034752,1123 MB
16428,new_order_i1,i,1076961280,1027 MB
16410,order_line,r,135235518464,126 GB
16430,order_line_i1,i,52899119104,49 GB
16413,orders,r,8518942720,8124 MB
16432,orders_i1,i,5044756480,4811 MB
16439,orders_i2,i,5237841920,4995 MB
16416,stock,r,79276687360,74 GB
16434,stock_i1,i,4774854656,4554 MB
16419,warehouse,r,235053056,224 MB
16436,warehouse_i1,i,745472,728 kB
