oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16440,customer_i1,4,3,1892573184,41827,1140,229886,0,0,90.84,0
16452,customer_i2,4,3,3549282304,16948,3330,429931,0,0,89.57,1.54
16439,district_i1,4,1,794624,3,1,95,0,0,51.94,33.68
16435,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16441,new_order_i1,4,3,820330496,42442,434,69509,0,30194,89.37,0.74
16434,order_line_i1,4,3,47807053824,41827,35330,5800491,0,0,72.4,19.66
16438,orders_i1,4,3,4180508672,41827,2803,507512,0,0,82.88,7.83
16450,orders_i2,4,3,4557037568,41827,2663,553615,0,0,76.09,31.14
16436,stock_i1,4,3,4604796928,81517,1986,560122,0,0,88.15,2.44
16437,warehouse_i1,4,1,106496,3,1,11,0,0,44.88,45.45
