oid,relname,relkind,size,size_pretty
16410,customer,r,40745492480,38 GB
16440,customer_i1,i,1912463360,1824 MB
16456,customer_i2,i,3494912000,3333 MB
16416,district,r,237658112,227 MB
16442,district_i1,i,3678208,3592 kB
16419,history,r,7803371520,7442 MB
16422,item,r,10665984,10 MB
16444,item_i1,i,2260992,2208 kB
16425,new_order,r,1162338304,1108 MB
16446,new_order_i1,i,925433856,883 MB
16428,order_line,r,103757971456,97 GB
16448,order_line_i1,i,39037362176,36 GB
16431,orders,r,6318825472,6026 MB
16450,orders_i1,i,3796992000,3621 MB
16457,orders_i2,i,3771564032,3597 MB
16434,stock,r,74646732800,70 GB
16452,stock_i1,i,4749934592,4530 MB
16437,warehouse,r,108322816,103 MB
16454,warehouse_i1,i,385024,376 kB
