datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,128,3062600,768843,762104,18,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-03-24 11:33:40.832036+00
13741,postgres,0,1390,0,2726,163386,276827,78080,12,288,12,0,0,0,0,,,0,0,21456.628,9000.663,0,335,0,0,0,2021-03-24 11:33:40.832012+00
16385,tpcc,3,166438666,0,265336322,144706408808,127913084493,113711039399,1937149286,1860880262,70855633,0,64,29493755904,0,,,0,0,4042804679.154,3664018603.69,0,862,0,0,0,2021-03-24 11:33:41.419575+00
1,template1,0,770,0,984,104626,249830,51287,12,270,12,0,0,0,0,,,0,0,12697.947,358.71,0,132,0,0,0,2021-03-24 12:02:54.178389+00
13740,template0,0,210,0,482,3614,2974,1670,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-03-24 15:57:17.295715+00
