relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
3541,pg_catalog,pg_range,0,0,502,0,0,0,0,0,6,0,0,2020-11-10 20:08:13.066942+00,2020-11-10 22:32:22.453027+00,2020-11-10 20:08:00.555232+00,,1,1,1,0
3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,23,0,0,2020-11-10 20:08:13.064818+00,2020-11-10 22:32:22.280374+00,2020-11-10 20:08:00.55429+00,,1,1,1,0
3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,2020-11-10 20:08:13.066379+00,2020-11-10 22:32:22.307861+00,2020-11-10 20:08:00.554635+00,,1,1,1,0
1213,pg_catalog,pg_tablespace,220,439,3136,2276,0,0,0,0,2,0,0,2020-11-10 20:08:13.060342+00,2020-11-10 22:32:22.19607+00,2020-11-10 20:08:00.55303+00,,3,3,3,0
1259,pg_catalog,pg_class,1485,452008,1444521,1446710,22,14,0,14,409,0,0,2020-11-10 20:08:13.030796+00,2020-11-10 22:32:21.868151+00,2020-11-10 20:08:00.546159+00,,1,1,1,0
2617,pg_catalog,pg_operator,0,0,34224,129310,0,0,0,0,778,0,0,2020-11-10 20:08:13.030353+00,2020-11-10 22:32:21.929179+00,2020-11-10 20:08:00.544581+00,,1,1,1,0
2603,pg_catalog,pg_amproc,22,55,9361,15696,0,0,0,0,449,0,0,2020-11-10 20:08:13.054301+00,2020-11-10 22:32:21.994944+00,2020-11-10 20:08:00.549537+00,,1,1,1,0
13303,pg_toast,pg_toast_13301,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.068065+00,2020-11-10 22:32:22.969604+00,,,1,1,0,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.071273+00,2020-11-10 22:32:22.828892+00,,,1,1,0,0
2609,pg_catalog,pg_description,0,0,7,2,4,2,0,2,4566,0,1,2020-11-10 20:08:13.013488+00,2020-11-10 22:32:22.091049+00,2020-11-10 20:08:00.542061+00,,1,1,1,0
13298,pg_toast,pg_toast_13296,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.067951+00,2020-11-10 22:32:23.004268+00,,,1,1,0,0
2611,pg_catalog,pg_inherits,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.072589+00,2020-11-10 22:32:21.904419+00,2020-11-10 20:08:00.556752+00,,1,1,1,0
16428,public,stock,4,400000000,1931607873,1929646347,200000000,482706040,0,459159687,199201281,36038691,74198588,2020-11-10 20:25:31.49743+00,,2020-11-10 20:08:01.00582+00,2020-11-10 22:25:31.77948+00,1,0,1,13
4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.070801+00,2020-11-10 22:32:22.63834+00,,,1,1,0,0
1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.072425+00,2020-11-10 22:32:21.803065+00,2020-11-10 20:08:00.55579+00,,1,1,1,0
6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.068576+00,2020-11-10 22:32:22.4986+00,2020-11-10 20:08:00.555996+00,,1,1,1,0
6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.069317+00,2020-11-10 22:32:22.365806+00,2020-11-10 20:08:00.556332+00,,3,3,3,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.071271+00,2020-11-10 22:32:22.660479+00,,,1,1,0,0
2619,pg_catalog,pg_statistic,1,410,2077216,2084999,92,4574,0,3481,510,127,4666,2020-11-10 20:08:13.016172+00,2020-11-10 22:49:17.212807+00,,,1,8,0,0
2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.072227+00,2020-11-10 22:32:22.019123+00,2020-11-10 20:08:00.556631+00,,1,1,1,0
4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.060082+00,2020-11-10 22:32:22.883692+00,,,3,3,0,0
13301,information_schema,sql_sizing,0,0,,,0,0,0,0,23,0,0,2020-11-10 20:08:13.067111+00,2020-11-10 22:32:22.546731+00,2020-11-10 20:08:00.555498+00,,1,1,1,0
13296,information_schema,sql_parts,0,0,,,0,0,0,0,9,0,0,2020-11-10 20:08:13.067461+00,2020-11-10 22:32:22.571888+00,2020-11-10 20:08:00.556163+00,,1,1,1,0
6102,pg_catalog,pg_subscription_rel,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.068435+00,2020-11-10 22:32:22.509485+00,2020-11-10 20:08:00.556151+00,,1,1,1,0
