datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,stats_reset
0,,0,0,0,138,26691,9998,6041,16,0,0,0,0,0,0,,,0,0,2020-11-27 15:17:05.13282+00
13605,postgres,0,710,0,1314,36683,153285,17577,12,402,12,0,0,0,0,,,0,0,2020-11-27 15:17:05.132797+00
16385,tpcc,6,160933441,0,162634658,42142153218,21839774878,8223500396,1907733235,1814083152,69679817,0,54,29493878784,0,,,0,0,2020-11-27 15:17:05.700601+00
1,template1,0,484,0,893,31970,149845,15430,12,402,12,0,0,0,0,,,0,0,2020-11-27 15:48:55.110228+00
13604,template0,0,210,0,475,3841,3031,1745,0,0,0,0,0,0,0,,,0,0,2020-11-28 15:05:08.347037+00
