oid,relname,relkind,size,size_pretty
16928,customer,r,41788588032,39 GB
16992,customer_i1,i,1893556224,1806 MB
17009,customer_i2,i,3494879232,3333 MB
16934,district,r,292790272,279 MB
16994,district_i1,i,4374528,4272 kB
16937,history,r,10361520128,9882 MB
16940,item,r,10665984,10 MB
16996,item_i1,i,2260992,2208 kB
16943,new_order,r,1218150400,1162 MB
16998,new_order_i1,i,1045176320,997 MB
16946,order_line,r,138197508096,129 GB
17000,order_line_i1,i,55025868800,51 GB
16949,orders,r,8416886784,8027 MB
17002,orders_i1,i,4934148096,4706 MB
17008,orders_i2,i,5157740544,4919 MB
16952,stock,r,76361875456,71 GB
17004,stock_i1,i,4511211520,4302 MB
16955,warehouse,r,115695616,110 MB
17006,warehouse_i1,i,385024,376 kB
