oid,relname,relkind,size,size_pretty
16410,customer,r,42424942592,40 GB
16439,customer_i1,i,1897553920,1810 MB
16455,customer_i2,i,3495510016,3334 MB
16415,district,r,429228032,409 MB
16441,district_i1,i,6463488,6312 kB
16418,history,r,10013360128,9549 MB
16421,item,r,10665984,10 MB
16443,item_i1,i,2260992,2208 kB
16424,new_order,r,1153310720,1100 MB
16445,new_order_i1,i,988790784,943 MB
16427,order_line,r,137698451456,128 GB
16447,order_line_i1,i,52530110464,49 GB
16430,orders,r,8425668608,8035 MB
16449,orders_i1,i,4909056000,4682 MB
16456,orders_i2,i,5182414848,4942 MB
16433,stock,r,78224326656,73 GB
16451,stock_i1,i,4733222912,4514 MB
16436,warehouse,r,12115968,12 MB
16453,warehouse_i1,i,679936,664 kB
