oid,relname,relkind,size,size_pretty
16406,customer,r,40361476096,38 GB
16436,customer_i1,i,1892573184,1805 MB
16438,customer_i2,i,3515621376,3353 MB
16412,district,r,39837696,38 MB
16440,district_i1,i,1671168,1632 kB
16415,history,r,11957673984,11 GB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,1014177792,967 MB
16444,new_order_i1,i,867786752,828 MB
16424,order_line,r,158524030976,148 GB
16446,order_line_i1,i,63578873856,59 GB
16427,orders,r,9539764224,9098 MB
16448,orders_i1,i,5434048512,5182 MB
16450,orders_i2,i,5869469696,5598 MB
16430,stock,r,73044279296,68 GB
16452,stock_i1,i,4807139328,4584 MB
16433,warehouse,r,18104320,17 MB
16454,warehouse_i1,i,204800,200 kB
