oid,relname,relkind,size,size_pretty
16411,customer,r,43787509760,41 GB
16443,customer_i1,i,2280169472,2175 MB
16458,customer_i2,i,4134068224,3943 MB
16416,district,r,89481216,85 MB
16441,district_i1,i,16343040,16 MB
16419,history,r,9440378880,9003 MB
16422,item,r,10665984,10 MB
16444,item_i1,i,2260992,2208 kB
16425,new_order,r,1257046016,1199 MB
16446,new_order_i1,i,1109377024,1058 MB
16428,order_line,r,134514712576,125 GB
16445,order_line_i1,i,47890587648,45 GB
16431,orders,r,7905427456,7539 MB
16442,orders_i1,i,4692230144,4475 MB
16456,orders_i2,i,4761182208,4541 MB
16434,stock,r,84110270464,78 GB
16447,stock_i1,i,5503975424,5249 MB
16437,warehouse,r,28336128,27 MB
16440,warehouse_i1,i,1531904,1496 kB
