datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,stats_reset
0,,0,0,0,5678,113108,35021,27100,16,0,0,0,0,0,0,,,0,0,2020-11-09 12:48:43.548557+00
13433,postgres,2,6760,0,53783,913135,1134550,459092,12,410,12,0,0,0,0,,,0,0,2020-11-09 12:48:43.548537+00
16385,tpcc,7,140739238,3,1259068616,29211888544,12514525823,7192344607,1793488940,1585877801,60892237,0,64,29494673408,1,,,0,0,2020-11-09 12:48:44.017161+00
1,template1,0,507,0,3103,27617,159486,14463,12,410,12,0,0,0,0,,,0,0,2020-11-09 13:17:10.915162+00
13432,template0,0,214,0,469,3162,2799,1523,0,0,0,0,0,0,0,,,0,0,2020-11-10 18:32:23.107475+00
