datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,126,991551,253584,246822,18,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-04-12 21:50:21.973676+00
14750,postgres,0,1436,0,1856,185586,377213,100376,12,313,12,0,0,0,0,,,0,0,18575.921,5785.047,0,328,0,0,0,2021-04-12 21:50:21.973641+00
16385,tpcc,5,133033584,1,219014204,65044223039,51137954060,34263928521,1749217194,1489493152,56762755,0,64,29493747712,0,,,0,0,4051777800.374,3695928540.215,0,1010,0,0,0,2021-04-12 21:50:22.566572+00
1,template1,0,758,0,819,102207,321369,46517,12,236,12,0,0,0,0,,,0,0,11388.388,325.58,0,132,0,0,0,2021-04-12 22:17:00.22692+00
14749,template0,0,210,0,486,3629,3380,1673,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-04-14 09:19:52.742979+00
