oid,relname,relkind,size,size_pretty
16405,customer,r,43021336576,40 GB
16440,customer_i1,i,2271551488,2166 MB
16452,customer_i2,i,4141604864,3950 MB
16410,district,r,79323136,76 MB
16439,district_i1,i,13778944,13 MB
16413,history,r,9798049792,9344 MB
16416,item,r,10665984,10 MB
16435,item_i1,i,2260992,2208 kB
16419,new_order,r,1158987776,1105 MB
16441,new_order_i1,i,993730560,948 MB
16422,order_line,r,137392627712,128 GB
16434,order_line_i1,i,52278124544,49 GB
16425,orders,r,8099594240,7724 MB
16438,orders_i1,i,4867350528,4642 MB
16450,orders_i2,i,4976861184,4746 MB
16428,stock,r,81704476672,76 GB
16436,stock_i1,i,5453930496,5201 MB
16431,warehouse,r,27549696,26 MB
16437,warehouse_i1,i,1531904,1496 kB
