oid,relname,relkind,size,size_pretty
16411,customer,r,43718541312,41 GB
16443,customer_i1,i,2269585408,2164 MB
16458,customer_i2,i,4106321920,3916 MB
16416,district,r,78733312,75 MB
16441,district_i1,i,14360576,14 MB
16419,history,r,9445097472,9008 MB
16422,item,r,10665984,10 MB
16444,item_i1,i,2260992,2208 kB
16425,new_order,r,1226588160,1170 MB
16446,new_order_i1,i,1046970368,998 MB
16428,order_line,r,134202097664,125 GB
16445,order_line_i1,i,47839805440,45 GB
16431,orders,r,7876149248,7511 MB
16442,orders_i1,i,4696129536,4479 MB
16456,orders_i2,i,4837212160,4613 MB
16434,stock,r,84067999744,78 GB
16447,stock_i1,i,5493145600,5239 MB
16437,warehouse,r,18055168,17 MB
16440,warehouse_i1,i,1376256,1344 kB
