datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,stats_reset
0,,0,0,0,67,28114,7885,6314,16,0,0,0,0,0,0,,,0,0,2020-11-11 09:57:12.760462+00
13427,postgres,0,2142,0,816,285240,350989,135338,12,402,12,0,0,0,0,,,0,0,2020-11-11 09:57:12.760439+00
16385,tpcc,1,1709,0,69696270,63638244,1058489922,125598,998132889,459,16,0,23,23937474560,0,,,0,0,2020-11-11 09:57:13.238625+00
1,template1,0,348,0,780,22748,64564,12909,12,402,12,0,0,0,0,,,0,0,2020-11-11 10:29:12.890086+00
13426,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
