oid,relname,relkind,size,size_pretty
16410,customer,r,42258866176,39 GB
16439,customer_i1,i,1898782720,1811 MB
16455,customer_i2,i,3495043072,3333 MB
16415,district,r,359653376,343 MB
16441,district_i1,i,5292032,5168 kB
16418,history,r,10181001216,9709 MB
16421,item,r,10665984,10 MB
16443,item_i1,i,2260992,2208 kB
16424,new_order,r,1250754560,1193 MB
16445,new_order_i1,i,1075150848,1025 MB
16427,order_line,r,136010440704,127 GB
16447,order_line_i1,i,53860573184,50 GB
16430,orders,r,8594989056,8197 MB
16449,orders_i1,i,5123194880,4886 MB
16456,orders_i2,i,5297700864,5052 MB
16433,stock,r,77508919296,72 GB
16451,stock_i1,i,4576272384,4364 MB
16436,warehouse,r,173244416,165 MB
16453,warehouse_i1,i,401408,392 kB
