oid,relname,relkind,size,size_pretty
16406,customer,r,42259136512,39 GB
16436,customer_i1,i,2004754432,1912 MB
16438,customer_i2,i,3931570176,3749 MB
16412,district,r,928833536,886 MB
16440,district_i1,i,11591680,11 MB
16415,history,r,8887205888,8476 MB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,1375993856,1312 MB
16444,new_order_i1,i,1167196160,1113 MB
16424,order_line,r,124188753920,116 GB
16446,order_line_i1,i,46747688960,44 GB
16427,orders,r,7433101312,7089 MB
16448,orders_i1,i,4460593152,4254 MB
16450,orders_i2,i,4541186048,4331 MB
16430,stock,r,79727042560,74 GB
16452,stock_i1,i,5446156288,5194 MB
16433,warehouse,r,477782016,456 MB
16454,warehouse_i1,i,1335296,1304 kB
