oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16440,customer_i1,4,3,2227109888,41827,1345,270518,0,0,76.57,15.02
16452,customer_i2,4,3,4190437376,16948,3908,507619,0,0,75.25,16.6
16439,district_i1,4,2,13172736,412,7,1600,0,0,3.36,49.62
16435,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16441,new_order_i1,4,3,1176043520,42442,594,79454,0,63511,84.89,11.51
16434,order_line_i1,4,3,49492197376,41827,35623,6005904,0,0,75.13,25.48
16438,orders_i1,4,3,4702568448,41827,2831,571212,0,0,70.9,21.8
16450,orders_i2,4,3,4801191936,41827,2984,583098,0,0,69.54,34.87
16436,stock_i1,4,3,5472387072,81517,2399,665616,0,0,74.01,17.9
16437,warehouse_i1,4,1,1212416,3,1,144,0,2,3.7,52.08
