oid,relname,relkind,size,size_pretty
16410,customer,r,41796788224,39 GB
16439,customer_i1,i,1893285888,1806 MB
16455,customer_i2,i,3494895616,3333 MB
16415,district,r,307544064,293 MB
16441,district_i1,i,4800512,4688 kB
16418,history,r,10239492096,9765 MB
16421,item,r,10665984,10 MB
16443,item_i1,i,2260992,2208 kB
16424,new_order,r,1268785152,1210 MB
16445,new_order_i1,i,1081892864,1032 MB
16427,order_line,r,136898805760,127 GB
16447,order_line_i1,i,54152970240,50 GB
16430,orders,r,8510767104,8117 MB
16449,orders_i1,i,4932231168,4704 MB
16456,orders_i2,i,5268307968,5024 MB
16433,stock,r,76466978816,71 GB
16451,stock_i1,i,4516306944,4307 MB
16436,warehouse,r,137011200,131 MB
16453,warehouse_i1,i,442368,432 kB
