datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,116,1477400,372975,366968,18,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-02-13 18:01:19.908952+00
13715,postgres,0,1363,0,3711,111526,248013,52318,12,394,12,0,0,0,0,,,0,0,22388.654,11312.728,0,329,0,0,0,2021-02-13 18:01:19.908911+00
16385,tpcc,5,137073669,0,262402061,105230473896,91792023000,78164335613,1771929827,1534772767,58497357,0,56,29493673984,0,,,0,0,4129954460.58,3671758863.229,0,958,0,0,0,2021-02-13 18:01:20.491635+00
1,template1,0,822,0,1377,55624,232770,28481,12,404,12,0,0,0,0,,,0,0,12838.738,1323.589,0,132,0,0,0,2021-02-13 18:28:48.503156+00
13714,template0,0,210,0,481,3906,3043,1751,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-02-13 23:39:22.3357+00
