oid,relname,relkind,size,size_pretty
16410,customer,r,41649930240,39 GB
16439,customer_i1,i,1896382464,1809 MB
16455,customer_i2,i,3494862848,3333 MB
16415,district,r,328581120,313 MB
16441,district_i1,i,5234688,5112 kB
16418,history,r,9957867520,9497 MB
16421,item,r,10665984,10 MB
16443,item_i1,i,2260992,2208 kB
16424,new_order,r,1324326912,1263 MB
16445,new_order_i1,i,1109278720,1058 MB
16427,order_line,r,135695294464,126 GB
16447,order_line_i1,i,51890610176,48 GB
16430,orders,r,8218279936,7838 MB
16449,orders_i1,i,4802240512,4580 MB
16456,orders_i2,i,5081219072,4846 MB
16433,stock,r,76212346880,71 GB
16451,stock_i1,i,4564230144,4353 MB
16436,warehouse,r,15990784,15 MB
16453,warehouse_i1,i,638976,624 kB
