datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,128,2270794,572707,566620,18,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-03-11 05:48:25.751676+00
13741,postgres,0,1402,0,2965,111367,253731,53174,12,371,12,0,0,0,0,,,0,0,22850.731,11488.986,0,326,0,0,0,2021-03-11 05:48:25.751615+00
16385,tpcc,4,148148266,0,239816462,120875077137,106520590092,88936210889,1833947937,1653665256,62838009,0,64,29493755904,0,,,0,0,4062768578.307,3680166098.96,0,862,0,0,0,2021-03-11 05:48:26.335641+00
1,template1,0,810,0,1421,55960,227537,28556,12,404,12,0,0,0,0,,,0,0,12985.1,1564.972,0,132,0,0,0,2021-03-11 06:16:22.678408+00
13740,template0,0,210,0,480,3597,2974,1670,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-03-16 10:56:50.846741+00
