oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16442,customer_i1,i,2254684160,60000000,1440000000,63.87,0,0,0,543634564,24.11
16458,customer_i2,i,4089430016,60000000,2850366152,69.7,0,0,0,924666812,22.61
16447,district_i1,i,15024128,20000,320000,2.13,0,0,0,14441748,96.12
16440,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16445,new_order_i1,i,1037262848,19080215,457925160,44.15,256201,6148824,0.59,485875396,46.84
16446,order_line_i1,i,49775755264,1329645136,32979848016,66.26,1796126,43107024,0.09,10699381920,21.5
16443,orders_i1,i,4826849280,124865983,3006778648,62.29,0,0,0,1254386428,25.99
16456,orders_i2,i,5057085440,125622121,3015550664,59.63,0,0,0,1468937472,29.05
16444,stock_i1,i,5491482624,200002539,3200040624,58.27,67425,1078800,0.02,1427625188,26
16441,warehouse_i1,i,1572864,2000,32000,2.03,0,0,0,1504532,95.66
16411,customer,r,43671904256,60000000,35206033029,80.61,6031452,3574823904,8.19,4131751696,9.46
16416,district,r,103604224,20000,2288717,2.21,0,0,0,96932480,93.56
16419,history,r,9866027008,124267932,8882914797,90.04,0,0,0,40653616,0.41
16422,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16425,new_order,r,1167532032,19066545,648262530,55.52,247991,8431694,0.72,276320204,23.67
16428,order_line,r,139640373248,1242555607,106094311730,75.98,103364576,8883795452,6.36,13244565968,9.48
16431,orders,r,8200093696,124261425,6423461010,78.33,292031,14601550,0.18,475162868,5.79
16434,stock,r,83803668480,200000000,66181713386,78.97,10320512,3418881605,4.08,11878959820,14.17
16437,warehouse,r,22642688,2000,218137,0.96,170,19099,0.08,21471088,94.83
