oid,relname,relkind,size,size_pretty
16410,customer,r,42286350336,39 GB
16440,customer_i1,i,1903861760,1816 MB
16456,customer_i2,i,3496099840,3334 MB
16416,district,r,408150016,389 MB
16442,district_i1,i,6758400,6600 kB
16419,history,r,9264947200,8836 MB
16422,item,r,10665984,10 MB
16444,item_i1,i,2260992,2208 kB
16425,new_order,r,1246961664,1189 MB
16446,new_order_i1,i,1068400640,1019 MB
16428,order_line,r,128025280512,119 GB
16448,order_line_i1,i,48537976832,45 GB
16431,orders,r,7851606016,7488 MB
16450,orders_i1,i,4732321792,4513 MB
16457,orders_i2,i,4805697536,4583 MB
16434,stock,r,77801947136,72 GB
16452,stock_i1,i,4681211904,4464 MB
16437,warehouse,r,196935680,188 MB
16454,warehouse_i1,i,663552,648 kB
