oid,relname,relkind,size,size_pretty
16406,customer,r,42858725376,40 GB
16436,customer_i1,i,2111733760,2014 MB
16438,customer_i2,i,4088193024,3899 MB
16412,district,r,157507584,150 MB
16440,district_i1,i,11755520,11 MB
16415,history,r,9536520192,9095 MB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,1357070336,1294 MB
16444,new_order_i1,i,1129775104,1077 MB
16424,order_line,r,133761638400,125 GB
16446,order_line_i1,i,50307645440,47 GB
16427,orders,r,8076992512,7703 MB
16448,orders_i1,i,4770226176,4549 MB
16450,orders_i2,i,4847239168,4623 MB
16430,stock,r,81386987520,76 GB
16452,stock_i1,i,5296857088,5051 MB
16433,warehouse,r,74244096,71 MB
16454,warehouse_i1,i,1253376,1224 kB
