oid,relname,relkind,size,size_pretty
16406,customer,r,43569209344,41 GB
16442,customer_i1,i,1963606016,1873 MB
16452,customer_i2,i,3522084864,3359 MB
16411,district,r,611778560,583 MB
16440,district_i1,i,9666560,9440 kB
16414,history,r,10238181376,9764 MB
16417,item,r,10674176,10 MB
16435,item_i1,i,2260992,2208 kB
16420,new_order,r,1260855296,1202 MB
16438,new_order_i1,i,1110556672,1059 MB
16423,order_line,r,140269420544,131 GB
16437,order_line_i1,i,54770941952,51 GB
16426,orders,r,8788033536,8381 MB
16441,orders_i1,i,5035114496,4802 MB
16451,orders_i2,i,5384650752,5135 MB
16429,stock,r,81237270528,76 GB
16439,stock_i1,i,5465776128,5213 MB
16432,warehouse,r,293797888,280 MB
16436,warehouse_i1,i,770048,752 kB
