datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,stats_reset
0,,0,0,0,140,26432,9823,6048,16,0,0,0,0,0,0,,,0,0,2020-11-24 21:03:22.161953+00
13434,postgres,0,730,0,1232,37663,164668,18012,12,402,12,0,0,0,0,,,0,0,2020-11-24 21:03:22.161933+00
16385,tpcc,6,161105213,2,152932975,35636368044,14860702336,8231027190,1908361285,1815911946,69808836,0,64,29494247424,0,,,0,0,2020-11-24 21:03:22.613113+00
1,template1,0,506,0,836,32903,162233,15663,12,402,12,0,0,0,0,,,0,0,2020-11-24 21:45:32.481039+00
13433,template0,0,210,0,471,3845,3022,1745,0,0,0,0,0,0,0,,,0,0,2020-12-02 15:39:47.56323+00
