oid,relname,relkind,size,size_pretty
16392,customer,r,42435919872,40 GB
16422,customer_i1,i,1897431040,1810 MB
16438,customer_i2,i,3495567360,3334 MB
16398,district,r,430596096,411 MB
16424,district_i1,i,7127040,6960 kB
16401,history,r,10318872576,9841 MB
16404,item,r,10674176,10 MB
16426,item_i1,i,2260992,2208 kB
16407,new_order,r,1208500224,1153 MB
16428,new_order_i1,i,1036435456,988 MB
16410,order_line,r,139334516736,130 GB
16430,order_line_i1,i,54747619328,51 GB
16413,orders,r,8683298816,8281 MB
16432,orders_i1,i,4981743616,4751 MB
16439,orders_i2,i,5364817920,5116 MB
16416,stock,r,78320459776,73 GB
16434,stock_i1,i,4896702464,4670 MB
16419,warehouse,r,205094912,196 MB
16436,warehouse_i1,i,745472,728 kB
