datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,131,3348559,840308,833763,18,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-03-04 00:26:05.386715+00
13741,postgres,0,1402,0,4189,114728,241698,55820,12,404,12,0,0,0,0,,,0,0,22037.259,10180.446,0,332,0,0,0,2021-03-04 00:26:05.386691+00
16385,tpcc,3,180240740,0,277900439,145128758468,126574162720,114671872008,2014843265,2016825373,76880855,0,64,29493739520,0,,,0,0,4070815804.936,3628630739.506,0,862,0,0,0,2021-03-04 00:26:05.973457+00
1,template1,0,747,0,1366,51675,206081,26530,12,380,12,0,0,0,0,,,0,0,12489.594,1345.383,0,132,0,0,0,2021-03-04 00:55:09.680659+00
13740,template0,0,210,0,480,3908,3055,1751,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2021-03-08 10:12:29.796236+00
