oid,relname,relkind,size,size_pretty
16928,customer,r,42018086912,39 GB
16992,customer_i1,i,1904664576,1816 MB
17009,customer_i2,i,3494928384,3333 MB
16934,district,r,375005184,358 MB
16994,district_i1,i,6086656,5944 kB
16937,history,r,9960734720,9499 MB
16940,item,r,10665984,10 MB
16996,item_i1,i,2260992,2208 kB
16943,new_order,r,1252098048,1194 MB
16998,new_order_i1,i,1063993344,1015 MB
16946,order_line,r,136349630464,127 GB
17000,order_line_i1,i,51945553920,48 GB
16949,orders,r,8342732800,7956 MB
17002,orders_i1,i,4896079872,4669 MB
17008,orders_i2,i,5135138816,4897 MB
16952,stock,r,77170049024,72 GB
17004,stock_i1,i,4573650944,4362 MB
16955,warehouse,r,179757056,171 MB
17006,warehouse_i1,i,409600,400 kB
