oid,relname,relkind,size,size_pretty
16404,customer,r,43257389056,40 GB
16434,customer_i1,i,2042265600,1948 MB
16450,customer_i2,i,4016136192,3830 MB
16410,district,r,537026560,512 MB
16436,district_i1,i,29917184,29 MB
16413,history,r,9388490752,8954 MB
16416,item,r,10665984,10 MB
16438,item_i1,i,2260992,2208 kB
16419,new_order,r,1110540288,1059 MB
16440,new_order_i1,i,995344384,949 MB
16422,order_line,r,131812450304,123 GB
16442,order_line_i1,i,53124538368,49 GB
16425,orders,r,8237342720,7856 MB
16444,orders_i1,i,5198815232,4958 MB
16451,orders_i2,i,5167382528,4928 MB
16428,stock,r,79960965120,74 GB
16446,stock_i1,i,5314510848,5068 MB
16431,warehouse,r,18808832,18 MB
16448,warehouse_i1,i,3571712,3488 kB
