oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16440,customer_i1,i,2219098112,60000000,1440000000,64.89,0,0,0,508611764,22.92
16442,customer_i2,i,3995361280,60000000,2850366152,71.34,0,0,0,832091828,20.83
16444,district_i1,i,13877248,20006,320096,2.31,0,0,0,13303708,95.87
16446,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16448,new_order_i1,i,946782208,19561448,469474752,49.59,718771,17250504,1.82,368789520,38.95
16450,order_line_i1,i,50125135872,1369217990,34114072976,68.06,2492672,59824128,0.12,9730775012,19.41
16452,orders_i1,i,4831444992,126577710,3046752560,63.06,0,0,0,1211893104,25.08
16454,orders_i2,i,5156642816,127276159,3055081256,59.25,7,168,0,1521040948,29.5
16456,stock_i1,i,5445435392,200001052,3200016832,58.77,5852,93632,0,1383393972,25.4
16458,warehouse_i1,i,1286144,2000,32000,2.49,0,0,0,1219860,94.85
16411,customer,r,43403075584,60000000,35210610664,81.12,5518015,3276427264,7.55,4163151204,9.59
16416,district,r,139927552,20000,2288477,1.64,248,29196,0.02,131725488,94.14
16419,history,r,9988423680,125911893,8997538927,90.08,0,0,0,40838148,0.41
16422,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16425,new_order,r,1166188544,19546668,664586712,56.99,583304,19832336,1.7,243599288,20.89
16428,order_line,r,140522323968,1258797585,107490402778,76.49,117897453,10132853584,7.21,11305546464,8.05
16431,orders,r,8543961088,125884678,6506909920,76.16,366622,18331100,0.21,693442412,8.12
16434,stock,r,82494693376,200000000,66181713386,80.23,8380858,2776932767,3.37,11248006844,13.63
16437,warehouse,r,11575296,2000,218089,1.88,0,0,0,10875668,93.96
