oid,relname,relkind,size,size_pretty
16928,customer,r,41274343424,38 GB
16992,customer_i1,i,1892646912,1805 MB
17009,customer_i2,i,3494805504,3333 MB
16934,district,r,175497216,167 MB
16994,district_i1,i,5144576,5024 kB
16937,history,r,10497515520,10011 MB
16940,item,r,10665984,10 MB
16996,item_i1,i,2260992,2208 kB
16943,new_order,r,1476124672,1408 MB
16998,new_order_i1,i,1266057216,1207 MB
16946,order_line,r,139180924928,130 GB
17000,order_line_i1,i,55217569792,51 GB
16949,orders,r,8632147968,8232 MB
17002,orders_i1,i,4934746112,4706 MB
17008,orders_i2,i,5346689024,5099 MB
16952,stock,r,75042029568,70 GB
17004,stock_i1,i,4505075712,4296 MB
16955,warehouse,r,86532096,83 MB
17006,warehouse_i1,i,507904,496 kB
