oid,relname,relkind,size,size_pretty
16928,customer,r,40369070080,38 GB
16992,customer_i1,i,1893031936,1805 MB
17009,customer_i2,i,3494789120,3333 MB
16934,district,r,155959296,149 MB
16994,district_i1,i,2752512,2688 kB
16937,history,r,8325169152,7940 MB
16940,item,r,10665984,10 MB
16996,item_i1,i,2260992,2208 kB
16943,new_order,r,1207238656,1151 MB
16998,new_order_i1,i,1037746176,990 MB
16946,order_line,r,110035812352,102 GB
17000,order_line_i1,i,41708273664,39 GB
16949,orders,r,6670516224,6362 MB
17002,orders_i1,i,3904733184,3724 MB
17008,orders_i2,i,4040810496,3854 MB
16952,stock,r,73609650176,69 GB
17004,stock_i1,i,4492386304,4284 MB
16955,warehouse,r,7208960,7040 kB
17006,warehouse_i1,i,368640,360 kB
