oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16442,customer_i1,4,3,2151751680,41827,1217,261447,0,0,80.74,12.07
16452,customer_i2,4,3,3556352000,17178,3325,430799,0,0,89.64,1.73
16440,district_i1,4,2,15220736,412,7,1850,0,0,2.95,49.84
16435,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16438,new_order_i1,4,3,1106075648,42442,617,74231,0,60170,84.68,7.04
16437,order_line_i1,4,3,54406242304,41827,39685,6601701,0,0,75.61,25.27
16441,orders_i1,4,3,4951613440,41827,2961,601483,0,0,73.81,18.18
16451,orders_i2,4,3,5383503872,41827,3343,653822,0,0,67.93,36.6
16439,stock_i1,4,3,5499289600,81517,2412,668887,0,0,83.34,18.3
16436,warehouse_i1,4,1,1400832,3,1,169,0,0,3.2,50.89
