oid,relname,relkind,size,size_pretty
16405,customer,r,43776352256,41 GB
16440,customer_i1,i,2298650624,2192 MB
16452,customer_i2,i,4208312320,4013 MB
16410,district,r,95985664,92 MB
16439,district_i1,i,13074432,12 MB
16413,history,r,9826525184,9371 MB
16416,item,r,10665984,10 MB
16435,item_i1,i,2260992,2208 kB
16419,new_order,r,1093492736,1043 MB
16441,new_order_i1,i,976355328,931 MB
16422,order_line,r,138949664768,129 GB
16434,order_line_i1,i,52639997952,49 GB
16425,orders,r,8145747968,7768 MB
16438,orders_i1,i,4911800320,4684 MB
16450,orders_i2,i,4992679936,4761 MB
16428,stock,r,84126466048,78 GB
16436,stock_i1,i,5484945408,5231 MB
16431,warehouse,r,32071680,31 MB
16437,warehouse_i1,i,1327104,1296 kB
