oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16440,customer_i1,i,2140127232,60000000,1440000000,67.29,0,0,0,431122364,20.14
16442,customer_i2,i,4029440000,60000000,2850366152,70.74,0,0,0,865607060,21.48
16444,district_i1,i,11829248,20000,320000,2.71,0,0,0,11271828,95.29
16446,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16448,new_order_i1,i,963657728,19387551,465301224,48.28,349612,8390688,0.87,400302216,41.54
16450,order_line_i1,i,49481129984,1344211121,33512412744,67.73,2451331,58831944,0.12,9799217616,19.8
16452,orders_i1,i,4816396288,123622141,2974766664,61.76,0,0,0,1281150216,26.6
16454,orders_i2,i,5070159872,124239661,2982085064,58.82,0,0,0,1520997328,30
16456,stock_i1,i,5467611136,200000011,3200000176,58.53,0,0,0,1405444920,25.7
16458,warehouse_i1,i,1384448,2000,32000,2.31,0,0,0,1317524,95.17
16411,customer,r,43506974720,60000000,35200055536,80.91,5435202,3226095258,7.42,4326785512,9.95
16416,district,r,147251200,20000,2288577,1.55,0,0,0,138898556,94.33
16419,history,r,9771393024,122995302,8796695625,90.02,0,0,0,40250992,0.41
16422,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16425,new_order,r,1218928640,19373161,658687474,54.04,341898,11624532,0.95,308840676,25.34
16428,order_line,r,138883571712,1229879526,105004736468,75.61,129797910,11155659510,8.03,11394009996,8.2
16431,orders,r,8422522880,122997021,6357098770,75.48,401324,20066200,0.24,758917560,9.01
16434,stock,r,82840911872,200000000,66181713386,79.89,104014,34451266,0.04,14354345076,17.33
16437,warehouse,r,11239424,2000,218109,1.94,0,0,0,10550208,93.87
