userid,dbid,queryid,query,calls,total_time,min_time,max_time,mean_time,stddev_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time
10,16385,-1101195516008996861,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,1,0.796521,0.796521,0.796521,0.796521,0,116,16,2,0,0,0,0,0,0,0,0,0,0
10,16385,-873111375448947987,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,1,0.6686329999999999,0.6686329999999999,0.6686329999999999,0.6686329999999999,0,167,522,0,0,0,0,0,0,0,0,0,0,0
10,16385,8665621280524592735,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,1,0.136353,0.136353,0.136353,0.136353,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,13428,4390283800491518311,SELECT version(),1,0.013005,0.013005,0.013005,0.013005,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,13428,-6887975327946995770,SET client_encoding TO 'utf8',1,0.006681,0.006681,0.006681,0.006681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,1,7.384004,7.384004,7.384004,7.384004,0,167,956,5,0,0,0,0,0,0,0,0,0,0
10,13428,-6363133595459221451,SELECT $1,1,0.0024679999999999997,0.0024679999999999997,0.0024679999999999997,0.0024679999999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-3832115078929431881,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,1,84.663229,84.663229,84.663229,84.663229,0,116,482,47,0,0,0,0,0,0,0,0,0,0
10,16385,-3550680257026876615,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,1,10.622434,10.622434,10.622434,10.622434,0,5,1,0,0,0,0,0,0,0,0,0,0,0
10,16385,435174621275570554,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,1,102.518724,102.518724,102.518724,102.518724,0,5,111,48,0,0,0,0,0,0,0,0,0,0
10,16385,-5109480985238204195,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,1,3.455406,3.455406,3.455406,3.455406,0,1,63,1,0,0,0,0,0,0,0,0,0,0
