relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1259,pg_catalog,pg_class,1598,416382,1270536,1271375,23,16,1,16,408,0,0,0,2020-11-11 13:53:57.306818+00,2020-11-11 16:31:18.879645+00,2020-11-11 13:53:44.96551+00,,1,1,1,0
2603,pg_catalog,pg_amproc,48,168,9571,21625,0,0,0,0,483,0,0,0,2020-11-11 13:53:57.309426+00,2020-11-11 16:31:19.009283+00,2020-11-11 13:53:44.968126+00,,1,1,1,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.335396+00,2020-11-11 16:31:19.837327+00,,,1,1,0,0
2609,pg_catalog,pg_description,0,0,12,2,4,2,0,2,4740,0,1,0,2020-11-11 13:53:57.301561+00,2020-11-11 16:31:19.110705+00,2020-11-11 13:53:44.961723+00,,1,1,1,0
4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.335982+00,2020-11-11 16:31:19.646701+00,,,1,1,0,0
1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.33415+00,2020-11-11 16:31:18.811369+00,2020-11-11 13:53:44.976001+00,,1,1,1,0
6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329207+00,2020-11-11 16:31:19.515591+00,2020-11-11 13:53:44.975104+00,,1,1,1,0
6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329429+00,2020-11-11 16:31:19.382712+00,2020-11-11 13:53:44.975382+00,,3,3,3,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334309+00,2020-11-11 16:31:19.669242+00,,,1,1,0,0
16416,public,district,387,4880000,142978933,145647543,20000,92243057,0,83535575,20332,7913,19687,0,2020-11-11 13:53:57.305172+00,2020-11-11 16:43:11.131284+00,2020-11-11 13:53:45.025695+00,2020-11-11 16:43:12.798865+00,1,157,1,161
2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334932+00,2020-11-11 16:31:19.034844+00,2020-11-11 13:53:44.975764+00,,1,1,1,0
4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.323254+00,2020-11-11 16:31:19.848183+00,,,1,1,0,0
2618,pg_catalog,pg_rewrite,0,0,8445,8506,2,0,1,0,131,0,0,0,2020-11-11 13:53:57.306876+00,2020-11-11 16:31:19.072754+00,2020-11-11 13:53:44.964823+00,,1,1,1,0
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.336523+00,2020-11-11 16:31:19.936205+00,,,3,3,0,0
13286,pg_toast,pg_toast_13284,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.308716+00,2020-11-11 16:31:19.991352+00,,,1,1,0,0
2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327869+00,2020-11-11 16:31:18.891345+00,2020-11-11 13:53:44.97515+00,,1,1,1,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.307659+00,2020-11-11 16:31:19.859265+00,,,1,1,0,0
13301,pg_toast,pg_toast_13299,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327156+00,2020-11-11 16:31:19.980484+00,,,1,1,0,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,0,2020-11-11 13:53:57.310251+00,2020-11-11 16:31:19.283084+00,2020-11-11 13:53:44.96955+00,,1,1,1,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.314631+00,2020-11-11 16:31:19.724194+00,,,1,1,0,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329616+00,2020-11-11 16:31:19.360003+00,2020-11-11 13:53:44.975301+00,,1,1,1,0
1247,pg_catalog,pg_type,0,0,55932,52067,23,19,2,19,432,0,0,0,2020-11-11 13:53:57.307242+00,2020-11-11 16:31:18.749042+00,2020-11-11 13:53:44.968234+00,,1,1,1,0
16437,public,warehouse,2,4000,138368973,138369330,2000,46125831,0,45438100,2002,622,0,0,2020-11-11 13:53:57.304797+00,2020-11-11 16:43:12.874021+00,2020-11-11 13:53:44.963423+00,2020-11-11 16:43:14.43003+00,1,150,1,149
3256,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329889+00,2020-11-11 16:31:19.371896+00,2020-11-11 13:53:44.975379+00,,1,1,1,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2020-11-11 13:53:57.322357+00,2020-11-11 16:31:19.310906+00,2020-11-11 13:53:44.973497+00,,1,1,1,0
13294,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-11-11 13:53:57.326239+00,2020-11-11 16:31:19.552168+00,2020-11-11 13:53:44.9747+00,,1,1,1,0
2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-11 13:53:57.320471+00,2020-11-11 16:31:19.254662+00,2020-11-11 13:53:44.972614+00,,3,3,3,0
16410,public,customer,7,180000000,241162797,745993966,60000000,89406149,0,79132512,59954338,13263368,19630723,0,2020-11-11 14:04:05.163204+00,,2020-11-11 13:53:45.330363+00,2020-11-11 15:57:47.887058+00,1,0,1,10
3602,pg_catalog,pg_ts_config,0,0,640,640,0,0,0,0,23,0,0,0,2020-11-11 13:53:57.321491+00,2020-11-11 16:31:19.269344+00,2020-11-11 13:53:44.973123+00,,1,1,1,0
2602,pg_catalog,pg_amop,0,0,20646,33486,0,0,0,0,723,0,0,0,2020-11-11 13:53:57.311627+00,2020-11-11 16:31:18.996232+00,2020-11-11 13:53:44.966938+00,,1,1,1,0
16425,public,new_order,4,36000000,92196260,92039514,64110530,0,45935688,0,18660699,5334788,2300581,4845098,2020-11-11 13:54:00.965585+00,2020-11-11 16:22:07.520643+00,2020-11-11 13:53:45.211548+00,2020-11-11 16:36:10.349245+00,1,10,1,23
2838,pg_toast,pg_toast_2618,0,0,5199,17333,2,0,0,0,265,0,2,0,2020-11-11 13:53:57.307018+00,2020-11-11 16:31:19.791893+00,,,1,1,0,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.337894+00,2020-11-11 16:31:19.757392+00,,,1,1,0,0
1255,pg_catalog,pg_proc,106,320419,167864,199362,22,34,2,22,3054,0,35,0,2020-11-11 13:53:57.298941+00,2020-11-11 16:31:18.86614+00,2020-11-11 13:53:44.960703+00,,1,1,1,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.336367+00,2020-11-11 16:31:19.826272+00,,,1,1,0,0
3576,pg_catalog,pg_transform,0,0,20,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327741+00,2020-11-11 16:31:19.481342+00,2020-11-11 13:53:44.974812+00,,1,1,1,0
3381,pg_catalog,pg_statistic_ext,0,0,328459,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.333399+00,2020-11-11 16:31:19.060049+00,2020-11-11 13:53:44.975669+00,,1,1,1,0
4163,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.319902+00,2020-11-11 16:31:19.746285+00,,,1,1,0,0
2834,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.302064+00,2020-11-11 16:31:19.658078+00,,,1,1,0,0
4161,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.307269+00,2020-11-11 16:31:19.624368+00,,,1,1,0,0
2836,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.299591+00,2020-11-11 16:31:19.779373+00,,,1,1,0,0
13291,pg_toast,pg_toast_13289,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.326751+00,2020-11-11 16:31:20.002531+00,,,1,1,0,0
3456,pg_catalog,pg_collation,0,0,0,0,0,0,0,0,779,0,0,0,2020-11-11 13:53:57.306699+00,2020-11-11 16:31:19.446491+00,2020-11-11 13:53:44.964909+00,,1,1,1,0
3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334292+00,2020-11-11 16:31:19.814897+00,,,1,1,0,0
4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327702+00,2020-11-11 16:31:19.712727+00,,,1,1,0,0
3466,pg_catalog,pg_event_trigger,0,0,4,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.333402+00,2020-11-11 16:31:19.096467+00,2020-11-11 13:53:44.975587+00,,1,1,1,0
2620,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334918+00,2020-11-11 16:31:19.084857+00,2020-11-11 13:53:44.975861+00,,1,1,1,0
4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.323565+00,2020-11-11 16:31:19.880753+00,,,3,3,0,0
4149,pg_toast,pg_toast_2328,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329948+00,2020-11-11 16:31:19.691072+00,,,1,1,0,0
6100,pg_catalog,pg_subscription,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.33518+00,2020-11-11 16:31:18.822128+00,2020-11-11 13:53:44.975016+00,,3,3,3,0
2608,pg_catalog,pg_depend,0,0,966,2211,135,0,19,0,7719,0,35,0,2020-11-11 13:53:57.301181+00,2020-11-11 16:31:19.188714+00,2020-11-11 13:53:44.955468+00,,1,1,1,0
1260,pg_catalog,pg_authid,132,726,9467,9465,1,0,0,0,10,0,0,0,2020-11-11 13:53:57.323469+00,2020-11-11 16:31:18.771905+00,2020-11-11 13:53:44.972235+00,,3,3,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.315807+00,2020-11-11 16:31:19.602028+00,,,1,1,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.330553+00,2020-11-11 16:31:19.701912+00,,,1,1,0,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.328381+00,2020-11-11 16:31:19.613335+00,,,1,1,0,0
16419,public,history,1,60000000,,,106120344,0,0,0,110127361,0,1168866,12105310,2020-11-11 13:55:42.26347+00,2020-11-11 15:51:42.4667+00,2020-11-11 13:53:57.158376+00,2020-11-11 16:36:08.190327+00,1,2,1,5
16413,pg_toast,pg_toast_16410,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 14:04:05.163796+00,2020-11-11 16:31:19.590974+00,,,1,1,0,0
826,pg_catalog,pg_default_acl,0,0,6,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.335512+00,2020-11-11 16:31:19.394053+00,2020-11-11 13:53:44.975482+00,,1,1,1,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327279+00,2020-11-11 16:31:18.760731+00,2020-11-11 13:53:44.976098+00,,1,1,1,0
2616,pg_catalog,pg_opclass,48,48,12467,156245,0,0,0,0,130,0,0,0,2020-11-11 13:53:57.317117+00,2020-11-11 16:31:18.968282+00,2020-11-11 13:53:44.97038+00,,1,1,1,0
2600,pg_catalog,pg_aggregate,0,0,7261,7261,0,0,0,0,138,0,0,0,2020-11-11 13:53:57.31507+00,2020-11-11 16:31:19.04814+00,2020-11-11 13:53:44.969342+00,,1,1,1,0
