oid,relname,relkind,size,size_pretty
16410,customer,r,43364286464,40 GB
16440,customer_i1,i,1970069504,1879 MB
16456,customer_i2,i,3527442432,3364 MB
16416,district,r,611565568,583 MB
16442,district_i1,i,9355264,9136 kB
16419,history,r,8823455744,8415 MB
16422,item,r,10665984,10 MB
16444,item_i1,i,2260992,2208 kB
16425,new_order,r,1123442688,1071 MB
16446,new_order_i1,i,1008156672,961 MB
16428,order_line,r,124704440320,116 GB
16448,order_line_i1,i,46697832448,43 GB
16431,orders,r,7623327744,7270 MB
16450,orders_i1,i,4637622272,4423 MB
16457,orders_i2,i,4624228352,4410 MB
16434,stock,r,80759783424,75 GB
16452,stock_i1,i,5257560064,5014 MB
16437,warehouse,r,297582592,284 MB
16454,warehouse_i1,i,778240,760 kB
