oid,relname,relkind,size,size_pretty
16410,customer,r,41920765952,39 GB
16439,customer_i1,i,1898962944,1811 MB
16455,customer_i2,i,3495460864,3334 MB
16415,district,r,356679680,340 MB
16441,district_i1,i,6037504,5896 kB
16418,history,r,9780248576,9327 MB
16421,item,r,10665984,10 MB
16443,item_i1,i,2260992,2208 kB
16424,new_order,r,1319092224,1258 MB
16445,new_order_i1,i,1166008320,1112 MB
16427,order_line,r,133739634688,125 GB
16447,order_line_i1,i,51014934528,48 GB
16430,orders,r,8116068352,7740 MB
16449,orders_i1,i,4723712000,4505 MB
16456,orders_i2,i,5009915904,4778 MB
16433,stock,r,77003309056,72 GB
16451,stock_i1,i,4772225024,4551 MB
16436,warehouse,r,19554304,19 MB
16453,warehouse_i1,i,466944,456 kB
