oid,relname,relkind,size,size_pretty
16392,customer,r,41033613312,38 GB
16422,customer_i1,i,1893064704,1805 MB
16438,customer_i2,i,3494821888,3333 MB
16398,district,r,187555840,179 MB
16424,district_i1,i,3268608,3192 kB
16401,history,r,11306467328,11 GB
16404,item,r,10674176,10 MB
16426,item_i1,i,2260992,2208 kB
16407,new_order,r,1264648192,1206 MB
16428,new_order_i1,i,1120591872,1069 MB
16410,order_line,r,150851198976,140 GB
16430,order_line_i1,i,59444568064,55 GB
16413,orders,r,9123282944,8701 MB
16432,orders_i1,i,5182726144,4943 MB
16439,orders_i2,i,5660983296,5399 MB
16416,stock,r,74245046272,69 GB
16434,stock_i1,i,4492402688,4284 MB
16419,warehouse,r,89391104,85 MB
16436,warehouse_i1,i,385024,376 kB
