oid,relname,relkind,size,size_pretty
16392,customer,r,41148628992,38 GB
16422,customer_i1,i,1893064704,1805 MB
16438,customer_i2,i,3494821888,3333 MB
16398,district,r,216965120,207 MB
16424,district_i1,i,3629056,3544 kB
16401,history,r,11200176128,10 GB
16404,item,r,10674176,10 MB
16426,item_i1,i,2260992,2208 kB
16407,new_order,r,1268277248,1210 MB
16428,new_order_i1,i,1079001088,1029 MB
16410,order_line,r,149541838848,139 GB
16430,order_line_i1,i,59033329664,55 GB
16413,orders,r,9076588544,8656 MB
16432,orders_i1,i,5192933376,4952 MB
16439,orders_i2,i,5621792768,5361 MB
16416,stock,r,74547986432,69 GB
16434,stock_i1,i,4492427264,4284 MB
16419,warehouse,r,101818368,97 MB
16436,warehouse_i1,i,385024,376 kB
